"ParkName","UnitCode","ParkType","Region","State","Year","Month","RecreationVisits","NonRecreationVisits","RecreationHours","NonRecreationHours","ConcessionerLodging","ConcessionerCamping","TentCampers","RVCampers","Backcountry","NonRecreationOvernightStays","MiscellaneousOvernightStays","ParkNameTotal","UnitCodeTotal","ParkTypeTotal","RegionTotal","StateTotal","YearTotal","RecreationVisitsTotal","NonRecreationVisitsTotal","RecreationHoursTotal","NonRecreationHoursTotal","ConcessionerLodgingTotal","ConcessionerCampingTotal","TentCampersTotal","RVCampersTotal","BackcountryTotal","NonRecreationOvernightStaysTotal","MiscellaneousOvernightStaysTotal"
"Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,1,"6,925","0","16,887","0","0","0","19","8","0","0","0","Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,"307,143","0","1,746,554","0","0","0","18,795","12,257","1,708","0","0"
"Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,2,"3,361","0","7,902","0","0","0","24","7","0","0","0","Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,"307,143","0","1,746,554","0","0","0","18,795","12,257","1,708","0","0"
"Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,3,"7,147","0","19,739","0","0","0","217","35","22","0","0","Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,"307,143","0","1,746,554","0","0","0","18,795","12,257","1,708","0","0"
"Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,4,"11,292","0","53,152","0","0","0","804","307","65","0","0","Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,"307,143","0","1,746,554","0","0","0","18,795","12,257","1,708","0","0"
"Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,5,"29,218","0","218,627","0","0","0","2,290","1,602","253","0","0","Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,"307,143","0","1,746,554","0","0","0","18,795","12,257","1,708","0","0"
"Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,6,"40,616","0","307,848","0","0","0","3,895","2,309","217","0","0","Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,"307,143","0","1,746,554","0","0","0","18,795","12,257","1,708","0","0"
"Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,7,"44,532","0","327,968","0","0","0","3,868","2,549","420","0","0","Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,"307,143","0","1,746,554","0","0","0","18,795","12,257","1,708","0","0"
"Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,8,"40,788","0","287,857","0","0","0","3,205","2,017","385","0","0","Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,"307,143","0","1,746,554","0","0","0","18,795","12,257","1,708","0","0"
"Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,9,"45,983","0","308,465","0","0","0","2,776","2,741","156","0","0","Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,"307,143","0","1,746,554","0","0","0","18,795","12,257","1,708","0","0"
"Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,10,"54,766","0","145,802","0","0","0","1,367","493","170","0","0","Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,"307,143","0","1,746,554","0","0","0","18,795","12,257","1,708","0","0"
"Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,11,"19,473","0","43,862","0","0","0","277","136","15","0","0","Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,"307,143","0","1,746,554","0","0","0","18,795","12,257","1,708","0","0"
"Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,12,"3,042","0","8,445","0","0","0","53","53","5","0","0","Black Canyon of the Gunnison NP","BLCA","National Park","Intermountain ","CO",2017,"307,143","0","1,746,554","0","0","0","18,795","12,257","1,708","0","0"
"Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,1,"3,173","35","6,609","35","0","0","0","0","21","0","0","Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,"486,935","470","2,308,335","470","0","0","26,782","14,972","4,313","0","5,623"
"Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,2,"6,547","35","13,356","35","0","0","0","0","21","0","0","Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,"486,935","470","2,308,335","470","0","0","26,782","14,972","4,313","0","5,623"
"Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,3,"24,744","35","51,669","35","0","0","0","0","168","0","0","Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,"486,935","470","2,308,335","470","0","0","26,782","14,972","4,313","0","5,623"
"Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,4,"23,064","35","100,274","35","0","0","1,818","1,422","240","0","451","Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,"486,935","470","2,308,335","470","0","0","26,782","14,972","4,313","0","5,623"
"Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,5,"67,737","45","397,242","45","0","0","4,363","2,983","818","0","1,071","Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,"486,935","470","2,308,335","470","0","0","26,782","14,972","4,313","0","5,623"
"Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,6,"96,529","45","474,809","45","0","0","5,280","2,640","892","0","1,111","Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,"486,935","470","2,308,335","470","0","0","26,782","14,972","4,313","0","5,623"
"Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,7,"97,242","45","499,707","45","0","0","6,593","2,554","617","0","970","Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,"486,935","470","2,308,335","470","0","0","26,782","14,972","4,313","0","5,623"
"Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,8,"73,579","45","340,651","45","0","0","3,778","1,482","670","0","899","Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,"486,935","470","2,308,335","470","0","0","26,782","14,972","4,313","0","5,623"
"Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,9,"47,673","45","263,545","45","0","0","2,739","2,043","514","0","640","Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,"486,935","470","2,308,335","470","0","0","26,782","14,972","4,313","0","5,623"
"Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,10,"29,763","35","124,897","35","0","0","2,211","1,848","211","0","481","Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,"486,935","470","2,308,335","470","0","0","26,782","14,972","4,313","0","5,623"
"Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,11,"10,510","35","22,317","35","0","0","0","0","103","0","0","Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,"486,935","470","2,308,335","470","0","0","26,782","14,972","4,313","0","5,623"
"Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,12,"6,374","35","13,259","35","0","0","0","0","38","0","0","Great Sand Dunes NP & PRES","GRSA","National Park","Intermountain ","CO",2017,"486,935","470","2,308,335","470","0","0","26,782","14,972","4,313","0","5,623"
