"ParkName","UnitCode","ParkType","Region","State","Year","Month","RecreationVisits","NonRecreationVisits","RecreationHours","NonRecreationHours","ConcessionerLodging","ConcessionerCamping","TentCampers","RVCampers","Backcountry","NonRecreationOvernightStays","MiscellaneousOvernightStays","ParkNameTotal","UnitCodeTotal","ParkTypeTotal","RegionTotal","StateTotal","YearTotal","RecreationVisitsTotal","NonRecreationVisitsTotal","RecreationHoursTotal","NonRecreationHoursTotal","ConcessionerLodgingTotal","ConcessionerCampingTotal","TentCampersTotal","RVCampersTotal","BackcountryTotal","NonRecreationOvernightStaysTotal","MiscellaneousOvernightStaysTotal"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,1,"30,661","0","115,240","0","0","0","308","0","0","0","661","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,2,"34,689","0","147,050","0","0","0","562","0","0","0","1,229","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,3,"36,433","0","144,507","0","0","0","454","0","0","0","1,013","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,4,"41,287","0","147,332","0","0","0","296","0","0","0","682","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,5,"55,595","0","174,777","0","0","0","106","0","0","0","227","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,6,"46,085","0","140,990","0","0","0","38","0","0","0","76","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,7,"65,142","0","201,331","0","0","0","82","0","0","0","164","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,8,"41,633","0","128,354","0","0","0","48","0","0","0","96","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,9,"6,230","0","18,690","0","0","0","0","0","0","0","0","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,10,"19,456","0","60,745","0","0","0","28","0","0","0","71","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,11,"34,442","0","123,414","0","0","0","264","0","0","0","573","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,12,"35,308","0","127,235","0","0","0","266","0","0","0","622","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414"
"Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,1,"4,492","45","54,324","45","0","0","410","0","0","45","292","Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,"54,281","1,476","676,371","17,712","0","0","5,342","0","0","1,476","5,524"
"Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,2,"3,900","45","49,212","45","0","0","576","0","0","45","400","Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,"54,281","1,476","676,371","17,712","0","0","5,342","0","0","1,476","5,524"
"Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,3,"7,200","54","76,620","54","0","0","610","0","0","54","100","Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,"54,281","1,476","676,371","17,712","0","0","5,342","0","0","1,476","5,524"
"Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,4,"6,880","51","70,068","51","0","0","0","0","0","51","292","Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,"54,281","1,476","676,371","17,712","0","0","5,342","0","0","1,476","5,524"
"Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,5,"5,908","261","83,784","261","0","0","1,074","0","0","261","908","Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,"54,281","1,476","676,371","17,712","0","0","5,342","0","0","1,476","5,524"
"Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,6,"5,568","300","75,288","300","0","0","706","0","0","300","568","Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,"54,281","1,476","676,371","17,712","0","0","5,342","0","0","1,476","5,524"
"Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,7,"5,628","228","76,464","228","0","0","744","0","0","228","628","Dry Tortugas NP","DRTO","National Park","Southeast ","FL",2017,"54,281","1,476","676,371","17,712","0","0","5,342","0","0","1,476","5,524"
