"Species ID","Park Name","Category","Order","Family","Scientific Name","Common Names","Record Status","Occurrence","Nativeness","Abundance","Seasonality","Conservation Status","...14"
"BISC-1000","Biscayne National Park","Mammal","Artiodactyla","Cervidae","Odocoileus virginianus","White-Tailed Deer","Approved","Present","Unknown","Unknown",NA,NA,NA
"BISC-1001","Biscayne National Park","Mammal","Carnivora","Canidae","Urocyon cinereoargenteus","Common Gray Fox","Approved","Present","Unknown","Unknown",NA,NA,NA
"BISC-1002","Biscayne National Park","Mammal","Carnivora","Felidae","Lynx rufus","Bobcat","Approved","Present","Unknown","Unknown",NA,NA,NA
"BISC-1003","Biscayne National Park","Mammal","Carnivora","Mephitidae","Mephitis mephitis","Striped Skunk","Approved","Present","Unknown","Unknown",NA,NA,NA
"BISC-1004","Biscayne National Park","Mammal","Carnivora","Mustelidae","Lutra canadensis","Northern River Otter","Approved","Present","Unknown","Unknown",NA,NA,NA
"BISC-1005","Biscayne National Park","Mammal","Carnivora","Procyonidae","Procyon lotor","Common Raccoon","Approved","Present","Unknown","Unknown",NA,NA,NA
"BISC-1006","Biscayne National Park","Mammal","Carnivora","Ursidae","Ursus americanus floridanus","None","Approved","Not Present (Historical Report)","Unknown",NA,NA,NA,NA
"BISC-1007","Biscayne National Park","Mammal","Cetacea","Balaenidae","Balaena glacialis","Black Right Whale, Black Whale, Right Whale","Approved","Present","Unknown","Unknown",NA,NA,NA
"BISC-1008","Biscayne National Park","Mammal","Cetacea","Balaenopteridae","Balaenoptera borealis","Sei Whale","Approved","Present","Unknown","Unknown",NA,"Endangered",NA
"BISC-1009","Biscayne National Park","Mammal","Cetacea","Balaenopteridae","Balaenoptera physalus","Fin Whale","Approved","Present","Unknown","Unknown",NA,"Endangered",NA
"BISC-1010","Biscayne National Park","Mammal","Cetacea","Balaenopteridae","Megaptera novaeangliae","Humpback Whale","Approved","Present","Unknown","Unknown",NA,"Endangered",NA
"BISC-1011","Biscayne National Park","Mammal","Cetacea","Delphinidae","Tursiops truncatus","Bottle-Nosed Dolphin","Approved","Present","Unknown","Unknown",NA,NA,NA
"BISC-1012","Biscayne National Park","Mammal","Cetacea","Physeteridae","Physeter macrocephalus","Sperm Whale","Approved","Present","Unknown","Unknown",NA,"Endangered",NA
"BISC-1013","Biscayne National Park","Mammal","Chiroptera","Molossidae","Eumops glaucinus","Wagner's Mastiff Bat","Approved","Present","Unknown","Unknown",NA,NA,NA
