"ParkName","UnitCode","ParkType","Region","State","Year","Month","RecreationVisits","NonRecreationVisits","RecreationHours","NonRecreationHours","ConcessionerLodging","ConcessionerCamping","TentCampers","RVCampers","Backcountry","NonRecreationOvernightStays","MiscellaneousOvernightStays","ParkNameTotal","UnitCodeTotal","ParkTypeTotal","RegionTotal","StateTotal","YearTotal","RecreationVisitsTotal","NonRecreationVisitsTotal","RecreationHoursTotal","NonRecreationHoursTotal","ConcessionerLodgingTotal","ConcessionerCampingTotal","TentCampersTotal","RVCampersTotal","BackcountryTotal","NonRecreationOvernightStaysTotal","MiscellaneousOvernightStaysTotal"
"Biscayne NP","BISC","National Park","Southeast ","FL",1979,1,"10,216","0","73,694","0","0","0","316","0","0","0","2,420","Biscayne NP","BISC","National Park","Southeast ","FL",1979,"202,938","0","1,484,660","0","0","0","2,232","0","0","0","53,844"
"Biscayne NP","BISC","National Park","Southeast ","FL",1979,2,"13,979","0","90,525","0","0","0","212","0","0","0","2,672","Biscayne NP","BISC","National Park","Southeast ","FL",1979,"202,938","0","1,484,660","0","0","0","2,232","0","0","0","53,844"
"Biscayne NP","BISC","National Park","Southeast ","FL",1979,3,"17,010","0","113,832","0","0","0","284","0","0","0","3,532","Biscayne NP","BISC","National Park","Southeast ","FL",1979,"202,938","0","1,484,660","0","0","0","2,232","0","0","0","53,844"
"Biscayne NP","BISC","National Park","Southeast ","FL",1979,4,"19,773","0","137,940","0","0","0","336","0","0","0","4,568","Biscayne NP","BISC","National Park","Southeast ","FL",1979,"202,938","0","1,484,660","0","0","0","2,232","0","0","0","53,844"
"Biscayne NP","BISC","National Park","Southeast ","FL",1979,5,"23,505","0","207,780","0","0","0","440","0","0","0","9,040","Biscayne NP","BISC","National Park","Southeast ","FL",1979,"202,938","0","1,484,660","0","0","0","2,232","0","0","0","53,844"
"Biscayne NP","BISC","National Park","Southeast ","FL",1979,6,"19,107","0","119,628","0","0","0","84","0","0","0","3,516","Biscayne NP","BISC","National Park","Southeast ","FL",1979,"202,938","0","1,484,660","0","0","0","2,232","0","0","0","53,844"
"Biscayne NP","BISC","National Park","Southeast ","FL",1979,7,"22,740","0","129,695","0","0","0","24","0","0","0","3,204","Biscayne NP","BISC","National Park","Southeast ","FL",1979,"202,938","0","1,484,660","0","0","0","2,232","0","0","0","53,844"
"Biscayne NP","BISC","National Park","Southeast ","FL",1979,8,"21,110","0","134,359","0","0","0","132","0","0","0","4,028","Biscayne NP","BISC","National Park","Southeast ","FL",1979,"202,938","0","1,484,660","0","0","0","2,232","0","0","0","53,844"
"Biscayne NP","BISC","National Park","Southeast ","FL",1979,9,"10,129","0","57,941","0","0","0","20","0","0","0","1,432","Biscayne NP","BISC","National Park","Southeast ","FL",1979,"202,938","0","1,484,660","0","0","0","2,232","0","0","0","53,844"
"Biscayne NP","BISC","National Park","Southeast ","FL",1979,10,"13,936","0","192,879","0","0","0","44","0","0","0","11,384","Biscayne NP","BISC","National Park","Southeast ","FL",1979,"202,938","0","1,484,660","0","0","0","2,232","0","0","0","53,844"
"Biscayne NP","BISC","National Park","Southeast ","FL",1979,11,"13,029","0","112,403","0","0","0","156","0","0","0","4,868","Biscayne NP","BISC","National Park","Southeast ","FL",1979,"202,938","0","1,484,660","0","0","0","2,232","0","0","0","53,844"
"Biscayne NP","BISC","National Park","Southeast ","FL",1979,12,"18,404","0","113,984","0","0","0","184","0","0","0","3,180","Biscayne NP","BISC","National Park","Southeast ","FL",1979,"202,938","0","1,484,660","0","0","0","2,232","0","0","0","53,844"
"Biscayne NP","BISC","National Park","Southeast ","FL",1980,1,"23,008","0","135,615","0","0","0","156","0","0","0","3,476","Biscayne NP","BISC","National Park","Southeast ","FL",1980,"248,071","0","1,617,440","0","0","0","2,352","0","0","0","49,928"
"Biscayne NP","BISC","National Park","Southeast ","FL",1980,2,"16,373","0","95,347","0","0","0","356","0","0","0","2,132","Biscayne NP","BISC","National Park","Southeast ","FL",1980,"248,071","0","1,617,440","0","0","0","2,352","0","0","0","49,928"
"Biscayne NP","BISC","National Park","Southeast ","FL",1980,3,"17,582","0","147,752","0","0","0","440","0","0","0","6,012","Biscayne NP","BISC","National Park","Southeast ","FL",1980,"248,071","0","1,617,440","0","0","0","2,352","0","0","0","49,928"
"Biscayne NP","BISC","National Park","Southeast ","FL",1980,4,"22,600","0","142,144","0","0","0","380","0","0","0","3,932","Biscayne NP","BISC","National Park","Southeast ","FL",1980,"248,071","0","1,617,440","0","0","0","2,352","0","0","0","49,928"
"Biscayne NP","BISC","National Park","Southeast ","FL",1980,5,"24,102","0","151,657","0","0","0","260","0","0","0","4,344","Biscayne NP","BISC","National Park","Southeast ","FL",1980,"248,071","0","1,617,440","0","0","0","2,352","0","0","0","49,928"
"Biscayne NP","BISC","National Park","Southeast ","FL",1980,6,"25,117","0","129,557","0","0","0","100","0","0","0","2,324","Biscayne NP","BISC","National Park","Southeast ","FL",1980,"248,071","0","1,617,440","0","0","0","2,352","0","0","0","49,928"
"Biscayne NP","BISC","National Park","Southeast ","FL",1980,7,"27,412","0","157,169","0","0","0","184","0","0","0","3,960","Biscayne NP","BISC","National Park","Southeast ","FL",1980,"248,071","0","1,617,440","0","0","0","2,352","0","0","0","49,928"
"Biscayne NP","BISC","National Park","Southeast ","FL",1980,8,"26,232","0","199,682","0","0","0","60","0","0","0","7,836","Biscayne NP","BISC","National Park","Southeast ","FL",1980,"248,071","0","1,617,440","0","0","0","2,352","0","0","0","49,928"
"Biscayne NP","BISC","National Park","Southeast ","FL",1980,9,"17,871","0","124,091","0","0","0","48","0","0","0","4,336","Biscayne NP","BISC","National Park","Southeast ","FL",1980,"248,071","0","1,617,440","0","0","0","2,352","0","0","0","49,928"
"Biscayne NP","BISC","National Park","Southeast ","FL",1980,10,"17,835","0","154,956","0","0","0","36","0","0","0","6,932","Biscayne NP","BISC","National Park","Southeast ","FL",1980,"248,071","0","1,617,440","0","0","0","2,352","0","0","0","49,928"
"Biscayne NP","BISC","National Park","Southeast ","FL",1980,11,"17,704","0","102,497","0","0","0","160","0","0","0","2,480","Biscayne NP","BISC","National Park","Southeast ","FL",1980,"248,071","0","1,617,440","0","0","0","2,352","0","0","0","49,928"
"Biscayne NP","BISC","National Park","Southeast ","FL",1980,12,"12,235","0","76,973","0","0","0","172","0","0","0","2,164","Biscayne NP","BISC","National Park","Southeast ","FL",1980,"248,071","0","1,617,440","0","0","0","2,352","0","0","0","49,928"
"Biscayne NP","BISC","National Park","Southeast ","FL",1981,1,"15,537","0","81,589","0","0","0","92","0","0","0","1,528","Biscayne NP","BISC","National Park","Southeast ","FL",1981,"305,502","0","1,791,914","0","0","0","2,336","0","0","0","45,156"
"Biscayne NP","BISC","National Park","Southeast ","FL",1981,2,"19,828","0","101,008","0","0","0","112","0","0","0","1,696","Biscayne NP","BISC","National Park","Southeast ","FL",1981,"305,502","0","1,791,914","0","0","0","2,336","0","0","0","45,156"
"Biscayne NP","BISC","National Park","Southeast ","FL",1981,3,"22,080","0","127,104","0","0","0","280","0","0","0","2,952","Biscayne NP","BISC","National Park","Southeast ","FL",1981,"305,502","0","1,791,914","0","0","0","2,336","0","0","0","45,156"
