"ParkName","UnitCode","ParkType","Region","State.x","Year","Month","RecreationVisits","NonRecreationVisits","RecreationHours","NonRecreationHours","ConcessionerLodging","ConcessionerCamping","TentCampers","RVCampers","Backcountry","NonRecreationOvernightStays","MiscellaneousOvernightStays","ParkNameTotal","UnitCodeTotal","ParkTypeTotal","RegionTotal","StateTotal","YearTotal","RecreationVisitsTotal","NonRecreationVisitsTotal","RecreationHoursTotal","NonRecreationHoursTotal","ConcessionerLodgingTotal","ConcessionerCampingTotal","TentCampersTotal","RVCampersTotal","BackcountryTotal","NonRecreationOvernightStaysTotal","MiscellaneousOvernightStaysTotal","Park.Name","State.y","Acres","Latitude","Longitude","Category","n","city"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,1,"30,661","0","115,240","0","0","0","308","0","0","0","661","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414","Biscayne","FL",172924,25.65,-80.08,"Bird",233,"Miami"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,1,"30,661","0","115,240","0","0","0","308","0","0","0","661","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414","Biscayne","FL",172924,25.65,-80.08,"Mammal",28,"Miami"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,2,"34,689","0","147,050","0","0","0","562","0","0","0","1,229","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414","Biscayne","FL",172924,25.65,-80.08,"Bird",233,"Miami"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,2,"34,689","0","147,050","0","0","0","562","0","0","0","1,229","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414","Biscayne","FL",172924,25.65,-80.08,"Mammal",28,"Miami"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,3,"36,433","0","144,507","0","0","0","454","0","0","0","1,013","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414","Biscayne","FL",172924,25.65,-80.08,"Bird",233,"Miami"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,3,"36,433","0","144,507","0","0","0","454","0","0","0","1,013","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414","Biscayne","FL",172924,25.65,-80.08,"Mammal",28,"Miami"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,4,"41,287","0","147,332","0","0","0","296","0","0","0","682","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414","Biscayne","FL",172924,25.65,-80.08,"Bird",233,"Miami"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,4,"41,287","0","147,332","0","0","0","296","0","0","0","682","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414","Biscayne","FL",172924,25.65,-80.08,"Mammal",28,"Miami"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,5,"55,595","0","174,777","0","0","0","106","0","0","0","227","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414","Biscayne","FL",172924,25.65,-80.08,"Bird",233,"Miami"
"Biscayne NP","BISC","National Park","Southeast ","FL",2017,5,"55,595","0","174,777","0","0","0","106","0","0","0","227","Biscayne NP","BISC","National Park","Southeast ","FL",2017,"446,961","0","1,529,665","0","0","0","2,452","0","0","0","5,414","Biscayne","FL",172924,25.65,-80.08,"Mammal",28,"Miami"
