"Park Code","Park Name","State","Acres","Latitude","Longitude","Category","n","city"
"BISC","Biscayne","FL",172924,25.65,-80.08,"Bird",233,"Miami"
"BISC","Biscayne","FL",172924,25.65,-80.08,"Mammal",28,"Miami"
"BLCA","Black Canyon","CO",32950,38.57,-107.72,"Bird",175,"Denver"
"BLCA","Black Canyon","CO",32950,38.57,-107.72,"Mammal",67,"Denver"
"CHIS","Channel Islands","CA",249561,34.01,-119.42,"Bird",357,"Los Angeles"
"CHIS","Channel Islands","CA",249561,34.01,-119.42,"Mammal",44,"Los Angeles"
"DEVA","Death Valley","CA, NV",4740912,36.24,-116.82,"Bird",531,"Los Angeles"
"DEVA","Death Valley","CA, NV",4740912,36.24,-116.82,"Mammal",212,"Los Angeles"
"DRTO","Dry Tortugas","FL",64701,24.63,-82.87,"Bird",283,"Miami"
"DRTO","Dry Tortugas","FL",64701,24.63,-82.87,"Mammal",6,"Miami"
"EVER","Everglades","FL",1508538,25.32,-80.93,"Bird",370,"Miami"
"EVER","Everglades","FL",1508538,25.32,-80.93,"Mammal",42,"Miami"
"GRSA","Great Sand Dunes","CO",42984,37.73,-105.51,"Bird",240,"Denver"
"GRSA","Great Sand Dunes","CO",42984,37.73,-105.51,"Mammal",68,"Denver"
"JOTR","Joshua Tree","CA",789745,33.79,-115.9,"Bird",301,"Los Angeles"
"JOTR","Joshua Tree","CA",789745,33.79,-115.9,"Mammal",67,"Los Angeles"
"LAVO","Lassen Volcanic","CA",106372,40.49,-121.51,"Bird",245,"San Francisco"
"LAVO","Lassen Volcanic","CA",106372,40.49,-121.51,"Mammal",100,"San Francisco"
"MEVE","Mesa Verde","CO",52122,37.18,-108.49,"Bird",237,"Denver"
"MEVE","Mesa Verde","CO",52122,37.18,-108.49,"Mammal",86,"Denver"
"PINN","Pinnacles","CA",26606,36.48,-121.16,"Bird",170,"San Francisco"
"PINN","Pinnacles","CA",26606,36.48,-121.16,"Mammal",60,"San Francisco"
"REDW","Redwoods","CA",112512,41.3,-124,"Bird",501,"San Francisco"
"REDW","Redwoods","CA",112512,41.3,-124,"Mammal",154,"San Francisco"
"ROMO","Rocky Mountain","CO",265828,40.4,-105.58,"Bird",277,"Denver"
"ROMO","Rocky Mountain","CO",265828,40.4,-105.58,"Mammal",74,"Denver"
"YOSE","Yosemite","CA",761266,37.83,-119.5,"Bird",270,"San Francisco"
"YOSE","Yosemite","CA",761266,37.83,-119.5,"Mammal",88,"San Francisco"
