"year","month","day","time","City","temperature","weather_description","wind_speed","humidity","State","State_ini"
2017,1,1,0,"Denver",37.81,"sky is clear",3,36,"Colorado","CO"
2017,1,1,0,"Miami",72.72,"scattered clouds",3,56,"Florida","FL"
2017,1,1,0,"Jacksonville",59.02,"scattered clouds",1,72,"Florida","FL"
2017,1,1,0,"Los Angeles",52.81,"mist",3,81,"California","CA"
2017,1,1,0,"San Francisco",52.38,"moderate rain",2,81,"California","CA"
2017,1,1,0,"San Diego",57.04,"mist",3,87,"California","CA"
2017,1,1,1,"Denver",29.17,"few clouds",2,36,"Colorado","CO"
2017,1,1,1,"Miami",71.8,"scattered clouds",3,60,"Florida","FL"
2017,1,1,1,"Jacksonville",58.12,"broken clouds",2,72,"Florida","FL"
2017,1,1,1,"Los Angeles",51.57,"mist",4,76,"California","CA"
2017,1,1,1,"San Francisco",49.03,"moderate rain",1,62,"California","CA"
2017,1,1,1,"San Diego",54.79,"mist",4,93,"California","CA"
2017,1,1,2,"Denver",28.42,"sky is clear",1,68,"Colorado","CO"
2017,1,1,2,"Miami",72.5,"broken clouds",2,64,"Florida","FL"
2017,1,1,2,"Jacksonville",58.3,"broken clouds",2,77,"Florida","FL"
2017,1,1,2,"Los Angeles",51.06,"light intensity drizzle",2,87,"California","CA"
2017,1,1,2,"San Francisco",47.73,"broken clouds",2,75,"California","CA"
2017,1,1,2,"San Diego",54.09,"mist",5,87,"California","CA"
2017,1,1,3,"Denver",26.92,"sky is clear",1,79,"Colorado","CO"
2017,1,1,3,"Miami",72.72,"scattered clouds",4,60,"Florida","FL"
2017,1,1,3,"Jacksonville",56.91,"few clouds",1,93,"Florida","FL"
2017,1,1,3,"Los Angeles",49.86,"mist",1,81,"California","CA"
2017,1,1,3,"San Francisco",45.3,"heavy intensity drizzle",3,76,"California","CA"
2017,1,1,3,"San Diego",54.25,"mist",4,82,"California","CA"
2017,1,1,4,"Denver",25.14,"sky is clear",1,79,"Colorado","CO"
